++++ EVENT no. 1 ++++
 i = 24	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.32946	p_x = -0.00008	p_y = -0.00013	p_z = -0.00005	m = 0.00051
 i = 25	mother = 0	pdg = 22	name = gamma	daughter = -1	eta = -0.18244	p_x = 0.16451	p_y = -0.10114	p_z = -0.03543	m = 0.00000
 i = 26	mother = 0	pdg = 22	name = gamma	daughter = 42	eta = -0.18690	p_x = 0.33215	p_y = -0.19637	p_z = -0.07254	m = 0.00000
 i = 27	mother = 0	pdg = 22	name = gamma	daughter = 32	eta = -0.18746	p_x = 0.12235	p_y = -0.07387	p_z = -0.02695	m = 0.00000
 i = 28	mother = 0	pdg = 22	name = gamma	daughter = -1	eta = -0.21092	p_x = 0.01626	p_y = -0.00999	p_z = -0.00406	m = 0.00000
 i = 29	mother = 0	pdg = 22	name = gamma	daughter = -1	eta = -0.25744	p_x = 0.01238	p_y = -0.00542	p_z = -0.00352	m = 0.00000
 i = 30	mother = 0	pdg = 22	name = gamma	daughter = -1	eta = -0.31611	p_x = 0.00654	p_y = -0.00266	p_z = -0.00227	m = 0.00000
 i = 31	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.58976	p_x = -0.00005	p_y = -0.00019	p_z = -0.00012	m = 0.00051
 i = 32	mother = 27	pdg = 11	name = e-	daughter = 41	eta = -0.19843	p_x = 0.02923	p_y = -0.01714	p_z = -0.00677	m = 0.00051
 i = 33	mother = 27	pdg = -11	name = e+	daughter = 34	eta = -0.18404	p_x = 0.09311	p_y = -0.05672	p_z = -0.02018	m = 0.00051
 i = 34	mother = 33	pdg = 22	name = gamma	daughter = 38	eta = -0.13067	p_x = 0.04094	p_y = -0.03135	p_z = -0.00676	m = 0.00000
 i = 35	mother = 33	pdg = 22	name = gamma	daughter = 36	eta = -0.39954	p_x = 0.01344	p_y = -0.00593	p_z = -0.00602	m = 0.00000
 i = 36	mother = 35	pdg = 11	name = e-	daughter = 37	eta = -0.40734	p_x = 0.01355	p_y = -0.00536	p_z = -0.00610	m = 0.00051
 i = 37	mother = 36	pdg = 11	name = e-	daughter = -1	eta = 1.64446	p_x = 0.00006	p_y = 0.00007	p_z = 0.00023	m = 0.00051
 i = 38	mother = 34	pdg = -11	name = e+	daughter = 39	eta = -0.11700	p_x = 0.03381	p_y = -0.02660	p_z = -0.00504	m = 0.00051
 i = 39	mother = 38	pdg = 22	name = gamma	daughter = -1	eta = 0.15167	p_x = 0.01066	p_y = -0.00448	p_z = 0.00176	m = 0.00000
 i = 40	mother = 38	pdg = 22	name = gamma	daughter = -1	eta = -0.62753	p_x = 0.00097	p_y = -0.00415	p_z = -0.00285	m = 0.00000
 i = 41	mother = 32	pdg = 11	name = e-	daughter = -1	eta = 0.15865	p_x = -0.00006	p_y = 0.00011	p_z = 0.00002	m = 0.00051
 i = 42	mother = 26	pdg = 11	name = e-	daughter = 49	eta = -0.18201	p_x = 0.05032	p_y = -0.03028	p_z = -0.01075	m = 0.00051
 i = 43	mother = 26	pdg = -11	name = e+	daughter = 44	eta = -0.18777	p_x = 0.28182	p_y = -0.16609	p_z = -0.06179	m = 0.00051
 i = 44	mother = 43	pdg = 22	name = gamma	daughter = 47	eta = -0.19536	p_x = 0.07150	p_y = -0.04438	p_z = -0.01655	m = 0.00000
 i = 45	mother = 43	pdg = 22	name = gamma	daughter = 46	eta = -0.17810	p_x = 0.16397	p_y = -0.10675	p_z = -0.03503	m = 0.00000
 i = 46	mother = 45	pdg = 11	name = e-	daughter = -1	eta = -0.17880	p_x = 0.05644	p_y = -0.03667	p_z = -0.01210	m = 0.00051
 i = 47	mother = 44	pdg = 11	name = e-	daughter = 48	eta = -0.19752	p_x = 0.06653	p_y = -0.04141	p_z = -0.01558	m = 0.00051
 i = 48	mother = 47	pdg = 11	name = e-	daughter = -1	eta = -2.10836	p_x = 0.00002	p_y = 0.00002	p_z = -0.00013	m = 0.00051
 i = 49	mother = 42	pdg = 22	name = gamma	daughter = -1	eta = -0.21836	p_x = 0.00260	p_y = -0.00145	p_z = -0.00065	m = 0.00000
++++ EVENT no. 5 ++++
 i = 0	mother = -1	pdg = 11	name = e-	daughter = 8	eta = -1.74211	p_x = 0.94919	p_y = -0.69332	p_z = -3.25256	m = 0.00051
 i = 1	mother = -1	pdg = -11	name = e+	daughter = 2	eta = -0.25835	p_x = -0.98805	p_y = 0.73175	p_z = -0.32119	m = 0.00051
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.25616	p_x = -0.00007	p_y = 0.00089	p_z = 0.00023	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.01271	p_x = -0.00956	p_y = 0.00947	p_z = 0.00017	m = 0.00051
 i = 4	mother = 1	pdg = 22	name = gamma	daughter = 7	eta = -0.26630	p_x = -0.00001	p_y = 0.00001	p_z = -0.00000	m = 0.00000
 i = 5	mother = 1	pdg = 22	name = gamma	daughter = 6	eta = -0.26232	p_x = -0.03052	p_y = 0.10869	p_z = -0.02995	m = 0.00000
 i = 6	mother = 5	pdg = -11	name = e+	daughter = -1	eta = -0.24960	p_x = -0.01698	p_y = 0.06250	p_z = -0.01633	m = 0.00051
 i = 7	mother = 4	pdg = 11	name = e-	daughter = -1	eta = 0.07055	p_x = 0.00006	p_y = 0.00009	p_z = 0.00001	m = 0.00051
 i = 8	mother = 0	pdg = 22	name = gamma	daughter = 9	eta = -1.73566	p_x = 0.60873	p_y = -0.42485	p_z = -2.04006	m = 0.00000
 i = 9	mother = 8	pdg = 11	name = e-	daughter = 10	eta = -1.73609	p_x = 0.55419	p_y = -0.38702	p_z = -1.85850	m = 0.00051
 i = 10	mother = 9	pdg = 22	name = gamma	daughter = 11	eta = -1.74181	p_x = 0.33566	p_y = -0.23688	p_z = -1.13645	m = 0.00000
 i = 11	mother = 10	pdg = -11	name = e+	daughter = 12	eta = -1.74197	p_x = 0.31683	p_y = -0.22411	p_z = -1.07372	m = 0.00051
 i = 12	mother = 11	pdg = 22	name = gamma	daughter = 13	eta = -1.54568	p_x = 0.21791	p_y = -0.16432	p_z = -0.61107	m = 0.00000
 i = 13	mother = 12	pdg = -11	name = e+	daughter = 14	eta = -1.54799	p_x = 0.17704	p_y = -0.13294	p_z = -0.49696	m = 0.00051
 i = 14	mother = 13	pdg = 22	name = gamma	daughter = 15	eta = -1.54584	p_x = 0.17370	p_y = -0.13117	p_z = -0.48742	m = 0.00000
 i = 15	mother = 14	pdg = 11	name = e-	daughter = 16	eta = -1.54973	p_x = 0.04556	p_y = -0.03727	p_z = -0.13238	m = 0.00051
 i = 16	mother = 15	pdg = 22	name = gamma	daughter = 17	eta = -1.53367	p_x = 0.00843	p_y = -0.00714	p_z = -0.02441	m = 0.00000
 i = 17	mother = 16	pdg = 11	name = e-	daughter = 18	eta = -1.53632	p_x = 0.00445	p_y = -0.00384	p_z = -0.01303	m = 0.00051
 i = 18	mother = 17	pdg = 22	name = gamma	daughter = -1	eta = 0.61608	p_x = 0.00038	p_y = -0.00212	p_z = 0.00141	m = 0.00000
++++ EVENT no. 6 ++++
 i = 0	mother = -1	pdg = 11	name = e-	daughter = 19	eta = 0.71493	p_x = -1.50431	p_y = 0.18743	p_z = 1.17850	m = 0.00051
 i = 1	mother = -1	pdg = -11	name = e+	daughter = 2	eta = 0.52159	p_x = 1.55122	p_y = -0.22301	p_z = 0.85499	m = 0.00051
